"","lat","lon","Complaint.Type","Identifier","Severity"
"10756",43.058013,-76.1450459,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","016.-05-40.0",13
"10766",43.027099,-76.1431829,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-11-11.0",14
"10787",43.03234,-76.143358,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","085.-09-18.0",13
"10790",43.015325,-76.149115,"Property Maintenance-Ext","075.-09-08.0",11
"10818",43.038834,-76.1587226,"Property Maintenance-Ext","093.-05-36.0",11
"10819",43.031033,-76.1642449,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-25-20.0",13
"10832",43.055245,-76.1284079,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-14-02.0",14
"10840",43.061531,-76.143023,"Property Maintenance-Ext; Property Maintenance-Ext","016.-03-15.0",12
"10854",43.024414,-76.145659,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-03-36.0",14
"10877",32.6164656,-99.8084611,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-14-01.0",13
"10880",43.050364,-76.169067,"Property Maintenance-Ext; Property Maintenance-Ext","105.-08-38.0",12
"10883",43.038437,-76.162332,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","093.-02-08.0",13
"10886",43.057631,-76.196965,"Property Maintenance-Ext; Property Maintenance-Ext","113.-06-10.0",12
"10888",43.0477815,-76.1564035,"Fire Alarm; Fire Alarm; Fire Alarm; Fire Alarm","101.-15-03.0",14
"10890",43.0492476,-76.1119462,"Property Maintenance-Ext; Property Maintenance-Ext","036.-07-12.0",12
"10892",43.058866,-76.146619,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","017.-06-07.0",15
"10894",43.021666,-76.150487,"Property Maintenance-Ext; Property Maintenance-Ext","078.-08-06.0",12
"10902",43.039602,-76.1696259,"Property Maintenance-Ext","097.-13-29.0",11
"10907",43.022123,-76.152257,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","078.-06-21.0",13
"10910",43.044287,-76.0838629,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","039.-03-13.0",13
"10915",43.043529,-76.164321,"Property Maintenance-Ext; Property Maintenance-Ext","100.-23-26.1",12
"10917",43.06607,-76.153311,"Property Maintenance-Ext; Property Maintenance-Ext","007.-30-41.0",12
"10942",43.054937,-76.174941,"Property Maintenance-Ext; Property Maintenance-Ext","108.2-02-09.0",12
"10944",43.0428,-76.1662039,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","097.-01-34.0",13
"10949",43.045448,-76.176021,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","099.-01-30.0",14
"10951",43.04115,-76.1216589,"Complaint Reqst - General","046.-04-22.0",11
"10966",43.035548,-76.173184,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-18-03.0",13
"10970",43.016368,-76.146969,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-17-06.0",13
"10973",43.0261629,-76.150512,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-26-31.0",14
"10982",43.065769,-76.152056,"Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","007.-30-29.0",21
"11009",43.06309,-76.156348,"Property Maintenance-Ext; Property Maintenance-Ext","007.-35-27.0",12
"11042",43.063888,-76.14085,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","015.-09-02.0",13
"11045",42.347352,-83.0038,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","013.-21-06.0",13
"11051",43.02461,-76.153305,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","083.-05-17.0",14
"11083",43.035883,-76.170103,"Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","092.-04-32.0",13
"11087",43.0230593,-76.1598201,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","079.-13-04.0",13
"11113",43.007359,-76.143907,"Property Maintenance-Ext; Property Maintenance-Ext","072.-10-18.0",12
"11115",43.050528,-76.165878,"Property Maintenance-Ext","105.-07-16.0",11
"11140",43.029058,-76.158506,"Property Maintenance-Ext; Property Maintenance-Ext","086.-15-15.0",12
"11153",32.5377056,-82.9138652,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","093.-14-14.0",14
"11163",43.050514,-76.178651,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","109.-01-20.0",13
"11186",43.020646,-76.157259,"Property Maintenance-Ext; Property Maintenance-Ext","078.-12-11.0",12
"11188",37.4749906,-122.2477331,"Property Maintenance-Ext","079.-09-18.0",11
"11189",43.058143,-76.149135,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","017.-05-21.0",14
"11191",43.062868,-76.14973,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-16-48.0",13
"11194",43.023788,-76.144848,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-03-09.0",13
"11199",40.4438104,-79.9751861,"Property Maintenance-Ext; Property Maintenance-Ext","007.-19-07.0",12
"11201",43.033718,-76.1730089,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-22-07.0",13
"11217",43.024642,-76.137344,"Illegal Trash Set Out","058.-08-11.0",11
